first_allele,second_allele,"O(i,j)","E(i,j)","Rho(i,j)","E(i,j)*Rho(i,j)","var_observed(i,j)"
17,1,247.99999999999804,237.12717000005455,0.8233870967741949,195.24745207262586,202.96991999986778
17,5,381.0000000000034,372.3310080000743,0.8313385826771509,309.5331324775367,313.8367799998782
17,4,305.0000000000003,301.65389800006506,0.8149508196721233,245.83309143244412,246.6994999997521
17,16,833.7000000000231,851.6995760005257,0.8221062732397388,700.1875643456578,671.488886200295
17,11,572.6000000000121,610.1901400002874,0.8051344743276005,491.2851176090164,454.46258479969447
17,10,360.90000000000265,344.79212600007236,0.8248545303408004,284.4033471569957,295.0850237999231
17,13,212.8999999999983,232.7544100000554,0.7945044621888258,184.92441733917147,168.24347180005336
17,3,465.80000000000786,474.2638460001634,0.8164877629883832,387.2306266869405,375.9806071997505
17,18,397.4000000000044,387.7117160000774,0.8190236537493526,317.54506623981473,322.3214647999979
17,15,188.69999999999914,192.72464400004893,0.8396926338102861,161.82946392055084,157.7378461999823
17,14,202.9999999999988,195.928166000048,0.8368472906403975,163.96195487728224,169.05582000019206
17,19,225.5999999999983,218.34331400005118,0.8188829787234078,178.79762335270226,183.72209280016168
17,9,192.39999999999844,198.53281000004975,0.8072765072765129,160.27087343663172,154.57964479999387
17,8,379.8000000000035,372.21693600007444,0.8354923644023017,310.9844079292824,314.4350391997629
1,1,30.60000000000005,31.11265124999409,0.8058823529411763,25.073136595583467,24.641272800015436
1,5,97.49999999999963,97.70457599997847,0.8390769230769285,81.98165500059785,81.61987499999111
1,4,65.00000000000014,79.15796849998384,0.7787692307692274,61.64579023798715,50.53549999996335
1,16,220.79999999999825,223.49722200004408,0.7980072463768166,178.35240270112325,175.22494719988447
1,11,168.89999999999918,160.1219550000082,0.8309650680876309,133.0557512389064,139.7794558000573
1,10,94.19999999999986,90.478009499981,0.8167728237791938,73.8999793092202,76.76252719990313
1,13,55.100000000000115,61.077832499988894,0.8023593466424667,49.00636977902911,44.149279800040446
1,3,116.39999999999962,124.45309949999063,0.7807560137457089,97.16750586391076,90.6090207999714
1,18,87.09999999999987,101.74067699997758,0.7932261768082675,80.70336824257704,68.93827180006473
1,15,42.50000000000007,50.57349299999161,0.7988235294117639,40.399296172934434,33.913875000007216
1,14,56.600000000000094,51.41413949999101,0.8477031802120121,43.583929562006404,47.915928799981444
1,19,65.30000000000013,57.29617049998937,0.830474732006123,47.5830218409558,54.144718200039094
1,9,49.800000000000075,52.09763249999118,0.8413654618473881,43.833148629510575,41.85039919994013
1,8,110.69999999999973,97.67464199997853,0.8320686540198772,81.2720079007955,91.86491019999207
5,5,64.90000000000018,76.70661119998077,0.7798151001540815,59.816973695393195,50.525759799980115
5,4,116.4999999999995,124.29181439997085,0.803347639484984,99.84953570552233,93.31855500000106
